FILE,APOGEE_ID,TEFF,LOGG,PARAM_M_H,PARAM_ALPHA_M,AL_H,CA_H,C_H,FE_H,K_H,MG_H,MN_H,NA_H,NI_H,N_H,O_H,SI_H,S_H,TI_H,V_H,col1,2mass
apStar-r5-2M00234405+5542455.fits,2M00234405+5542455,4829.0317,2.6702616,-0.0047561266,0.06659572,0.09580921,-0.09302114,-0.122564,-0.01806809,-0.1709886,-0.062449142,0.046245907,-0.10018274,-0.0564052,0.147031,0.029347412,0.18609826,0.49120563,-0.08089073,-0.12028454,aspcapStar-r5-v603-2M00234405+5542455.fits,2M00234405+5542455
apStar-r5-2M00234815+5540404.fits,2M00234815+5540404,4976.932,2.8317623,-0.21532705,0.12556514,0.1242179,-0.0062687695,-0.10947999,-0.18832195,-0.21954371,-0.16159898,-0.17583649,-0.21602622,-0.1903151,-0.168251,-0.053637207,0.05355589,-0.16067424,-0.07600574,-0.34151116,aspcapStar-r5-v603-2M00234815+5540404.fits,2M00234815+5540404
apStar-r5-2M00240535+5400057.fits,2M00240535+5400057,4511.0073,2.279055,-0.15523107,0.14316966,0.0808253,-0.116063714,-0.086274005,-0.14179865,-0.20024937,0.068648055,-0.16536044,-0.12687027,-0.22269104,-0.036560006,0.022886112,0.08528204,0.013734356,0.027531222,-0.26051065,aspcapStar-r5-v603-2M00240535+5400057.fits,2M00240535+5400057
apStar-r5-2M00243398+5442060.fits,2M00243398+5442060,4850.6587,2.635931,0.013511509,0.047481183,0.09760733,0.26765382,-0.117429,0.040900044,-0.14705499,-0.039500948,-0.004702501,-0.10448862,-0.056008928,0.122344,0.008876301,0.2623871,0.010221433,-0.13557374,-0.18301119,aspcapStar-r5-v603-2M00243398+5442060.fits,2M00243398+5442060
apStar-r5-2M00243656+5519528.fits,2M00243656+5519528,4782.6885,2.650758,0.22083619,0.029258154,-0.029696915,0.16644488,0.042972,0.16209008,-0.020601712,0.100930616,0.29449284,0.12507702,0.15969726,0.36766,0.12563094,0.32922202,0.27666643,0.10642052,0.015523789,aspcapStar-r5-v603-2M00243656+5519528.fits,2M00243656+5519528
apStar-r5-2M00243735+5507357.fits,2M00243735+5507357,4901.2876,2.8124871,-0.017822899,0.021759914,0.05567324,-0.08439064,-0.191992,-0.03613113,-0.20856899,-0.098931104,0.028903931,-0.20401558,-0.07032232,0.063788,-0.016771171,0.11689462,0.1293854,-0.06641953,-0.081223965,aspcapStar-r5-v603-2M00243735+5507357.fits,2M00243735+5507357
apStar-r5-2M00244151+5455019.fits,2M00244151+5455019,5051.7783,2.7000296,-0.7308861,0.182864,-0.3589851,-0.70169586,-0.574207,-0.63732505,-0.8163751,-0.49172238,-0.7123386,-0.3928474,-0.6279873,-0.59798896,-0.4103975,-0.31910136,-0.36131597,-0.63206685,-0.51513016,aspcapStar-r5-v603-2M00244151+5455019.fits,2M00244151+5455019
apStar-r5-2M00244325+5400209.fits,2M00244325+5400209,4830.228,2.5575757,-0.1820748,0.080742255,0.12192113,-0.1038966,-0.19275899,-0.16426966,-0.21795365,-0.17093569,-0.10701532,-0.19023196,-0.14894813,-0.11334999,-0.04557821,0.10762194,-0.04176718,-0.20798504,-0.45754197,aspcapStar-r5-v603-2M00244325+5400209.fits,2M00244325+5400209
apStar-r5-2M00244487+5437493.fits,2M00244487+5437493,4726.678,2.3958468,0.22876522,0.06302151,0.32762605,0.16054639,0.1437303,0.21474935,0.011878943,0.24199149,0.11603465,0.05894847,0.16973695,0.183376,0.22642925,0.41286755,0.15006301,0.30027336,0.122342184,aspcapStar-r5-v603-2M00244487+5437493.fits,2M00244487+5437493
apStar-r5-2M00245215+5403377.fits,2M00245215+5403377,4803.6177,2.4673588,0.14478868,0.05778505,0.34050918,-0.08277803,0.138065,0.12009246,-0.06259617,0.12026937,0.1271515,0.24982068,0.07877956,0.15419799,0.071541876,0.2832744,0.16978113,0.055963922,0.027107127,aspcapStar-r5-v603-2M00245215+5403377.fits,2M00245215+5403377
apStar-r5-2M00251157+5442415.fits,2M00251157+5442415,4635.8853,2.4737458,0.003671065,0.18468148,0.23352678,-0.0686911,0.048694,-0.027983142,-0.014739201,0.08284516,-7.738266E-5,-0.07643678,-0.01201215,0.019326,0.16118068,0.26246205,0.24293447,0.14836206,-0.15288867,aspcapStar-r5-v603-2M00251157+5442415.fits,2M00251157+5442415
apStar-r5-2M00252105+5429054.fits,2M00252105+5429054,4740.83,2.4471712,-0.10488617,0.16881435,0.1787759,-0.06240128,0.06221001,-0.086198665,-0.20059079,-0.010604896,-0.21297649,-0.0748923,-0.109899364,-0.15367499,0.040107116,0.2113492,-0.07762897,-0.15506129,-0.12191887,aspcapStar-r5-v603-2M00252105+5429054.fits,2M00252105+5429054
apStar-r5-2M00252236+5727020.fits,2M00252236+5727020,4826.241,2.5397832,-0.1561124,0.08496147,0.069909066,-0.23035377,-0.16318423,-0.14789106,-0.1575068,-0.17837483,-0.088908106,-0.09857456,-0.17147495,-0.064351,-0.04952944,0.07117976,-0.035167888,-0.16551588,-0.1271204,aspcapStar-r5-v603-2M00252236+5727020.fits,2M00252236+5727020
apStar-r5-2M00252475+5350477.fits,2M00252475+5350477,4331.6143,1.764328,0.027793357,0.0612961,0.15763442,-0.03645485,-0.014742,-0.0076259547,-0.1870311,0.038959727,0.093983866,-0.052486345,-0.01060698,0.23561701,0.0951281,0.19591133,0.19948965,-0.015129518,-0.13827568,aspcapStar-r5-v603-2M00252475+5350477.fits,2M00252475+5350477
apStar-r5-2M00254097+5557068.fits,2M00254097+5557068,4693.291,2.514691,-0.21398549,0.069084264,-0.054834105,-0.22264081,-0.210924,-0.1938449,-0.32515484,-0.20112635,-0.13914824,-0.29600132,-0.1965439,-0.10075,-0.115602724,-0.013550654,-0.1170194,-0.22669365,-0.38336703,aspcapStar-r5-v603-2M00254097+5557068.fits,2M00254097+5557068
apStar-r5-2M00254738+5726537.fits,2M00254738+5726537,4928.7944,2.812259,-0.0040514134,0.04541627,-0.009933617,-0.13045305,-0.069291,-0.018554427,-0.099875264,-0.053486336,-0.007282771,0.17135237,-0.08553425,0.067135006,0.00619727,0.20224863,0.099891245,-0.07439753,0.005575318,aspcapStar-r5-v603-2M00254738+5726537.fits,2M00254738+5726537
apStar-r5-2M00261329+5338080.fits,2M00261329+5338080,4873.88,2.606163,-0.3618302,0.22643535,-0.024582326,-0.066728115,-0.18561001,-0.3295253,-0.38370818,-0.16243581,-0.27470577,0.08141153,-0.29817796,-0.357276,-0.10792333,-0.06314832,0.05764255,-0.2005733,-1.1852045,aspcapStar-r5-v603-2M00261329+5338080.fits,2M00261329+5338080
apStar-r5-2M00261497+5600315.fits,2M00261497+5600315,5237.65,3.1499739,-0.09881826,0.013201317,-0.19674975,-0.13258237,-0.22312501,-0.11120209,-0.24803574,-0.1598241,-0.0072658956,-0.20193608,-0.09892305,0.13925001,-0.17723925,-0.08729413,-0.043063127,-0.111754775,0.07234608,aspcapStar-r5-v603-2M00261497+5600315.fits,2M00261497+5600315
apStar-r5-2M00261578+5414432.fits,2M00261578+5414432,4061.4277,1.1021287,-0.21952195,0.01241651,-0.23556274,-0.12913248,-0.32049,-0.20558757,-0.41621408,-0.09763095,-0.20359695,-0.13793367,-0.29043004,0.026429996,-0.10861353,-0.08116489,-0.103438124,-0.21568757,-0.32742557,aspcapStar-r5-v603-2M00261578+5414432.fits,2M00261578+5414432
apStar-r5-2M00261672+5511365.fits,2M00261672+5511365,5006.233,3.2458935,0.021474892,0.098747805,0.2824534,0.11458414,0.0046420004,-0.016501626,-0.14070758,0.013498867,0.07166202,0.0608549,-0.026648473,-0.009924,0.054119267,0.19777884,-0.0072090644,0.10172919,-0.091734104,aspcapStar-r5-v603-2M00261672+5511365.fits,2M00261672+5511365
apStar-r5-2M00261762+5453285.fits,2M00261762+5453285,4904.078,3.005239,-0.15526722,0.09244718,0.032892395,-0.0053770393,-0.105491996,-0.16057813,-0.21678078,-0.105335385,-0.08458305,0.10595624,-0.09441451,-0.119645,-0.05671131,-0.02919881,0.005519867,-0.11812109,-0.164938,aspcapStar-r5-v603-2M00261762+5453285.fits,2M00261762+5453285
apStar-r5-2M00263368+5726212.fits,2M00263368+5726212,4848.9644,2.606619,-0.019199401,0.06988566,-0.029271476,-0.18485236,-0.21334201,-0.022343066,-0.09040284,-0.105647996,0.039063774,0.02746127,-0.018306095,0.224888,0.06336453,0.21210614,0.06483615,-0.13655555,-0.012666311,aspcapStar-r5-v603-2M00263368+5726212.fits,2M00263368+5726212
apStar-r5-2M00263848+5327128.fits,2M00263848+5327128,5049.3867,3.2749774,-0.24689457,0.19027692,0.046190068,-0.024387002,-0.097059995,-0.23247793,-0.29582497,-0.06953384,-0.15067229,0.21078107,-0.14054541,-0.285801,-0.052990243,0.035629332,0.1672576,-0.18942016,-1.8008152,aspcapStar-r5-v603-2M00263848+5327128.fits,2M00263848+5327128
